YEAR,SEP,LINE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
2012,subway,LINE1,8341518,8255019,8830598,8306279,8856979,8208757,8387807,7879764,8145123,8645140,8827242,8605526
2012,subway,LINE2,41414219,42585260,46188844,43828003,46251012,43411868,43857337,41621530,42609915,43897523,45093740,44722411
2012,subway,LINE3,14661057,15119468,16547899,15623045,16595063,15635350,15707681,14685419,15346680,16089309,16384142,16265496
2012,subway,LINE4,16402892,16762228,18931723,17958485,19240358,17674972,17218709,15850045,16850098,18155851,18494284,18242950
2012,subway,LINE5,15534075,16002917,17586360,17084626,17854814,16618881,16558607,15480280,16041029,17104350,17352632,17250110
2012,subway,LINE6,8409574,8699279,10071527,9644924,10368294,9505216,9223713,8666136,9343660,10002422,10010472,9596428
2012,subway,LINE7,16873347,17260174,19304031,18509664,19527496,18149425,17872236,16833751,17708993,18880841,20721677,20374095
2012,subway,LINE8,4294660,4394818,4917996,4729974,4945049,4577395,4485859,4207592,4456877,4651580,4746982,4794026
2012,subway,LINE9,5810404,5940340,6471277,6536712,6600419,6337783,6491018,6177376,6359540,6801879,6853405,6814260
