"gu","year","m_occur","m_arrest","rob_occur","rob_arrest","rap_occur","rap_arrest","thf_occur","thf_arrest","v_occur","v_arrest"
"성북구","2013",4,3,13,12,151,125,2289,676,2310,1906
"성북구","2014",8,5,16,20,165,128,2130,935,2287,1940
"성북구","2015",5,5,5,4,150,124,1785,741,2209,1855
"송파구","2010",9,7,48,32,260,201,3447,1095,3659,3018
"송파구","2011",6,5,54,38,292,209,4004,845,3735,2915
"송파구","2012",11,10,25,16,260,196,4035,901,3463,2718
"송파구","2013",4,3,18,15,257,181,3915,836,3058,2368
"송파구","2014",9,8,9,10,255,195,4199,885,3532,2884
"송파구","2015",11,10,13,10,220,178,3239,1129,3295,2786
"양천구","2010",9,10,34,23,109,107,1583,683,2164,1868
"양천구","2011",4,4,29,25,131,89,2016,698,2627,2062
"양천구","2012",5,4,16,11,127,84,1996,621,2372,1963
"양천구","2013",3,2,16,7,136,97,2032,643,2431,1823
"양천구","2014",5,5,11,10,129,96,2058,630,2439,1913
"양천구","2015",3,5,6,3,120,105,1890,672,2509,2030
"영등포구","2010",34,32,74,57,244,197,2648,1246,3922,3416
"영등포구","2011",18,19,53,40,221,163,2688,879,4143,3338
"영등포구","2012",18,18,27,19,237,199,3052,776,4049,3358
"영등포구","2013",14,12,21,20,260,185,3200,912,3368,2733
"영등포구","2014",14,15,10,5,250,183,3080,892,3649,2977
"영등포구","2015",14,12,22,20,295,183,2964,978,3572,2961
"용산구","2010",9,8,40,35,131,120,1207,726,1936,1685
"용산구","2011",13,13,47,36,172,153,1592,555,2454,1967
"용산구","2012",7,8,32,27,165,143,1517,602,2268,1894
"용산구","2013",4,5,23,13,182,153,1547,547,2125,1709
"용산구","2014",1,2,7,7,213,169,1560,522,2018,1640
"용산구","2015",5,5,14,14,194,173,1557,587,2050,1704
"은평구","2010",11,12,36,28,147,135,1657,999,2708,2461
"은평구","2011",14,12,28,30,153,148,1981,807,2970,2425
"은평구","2012",7,7,22,14,192,163,2532,863,2918,2447
"은평구","2013",9,9,14,17,162,133,2398,914,2831,2374
"은평구","2014",5,3,24,21,188,158,2352,798,2862,2345
"은평구","2015",3,3,9,6,166,141,1914,711,2653,2306
"종로구","2010",7,5,33,31,201,163,1715,1133,2777,2459
"종로구","2011",8,7,36,28,178,157,1942,959,2760,2377
"종로구","2012",4,3,15,15,163,128,2300,954,2621,2243
"종로구","2013",4,2,11,8,206,150,2470,1043,2410,2106
"종로구","2014",3,2,12,8,226,151,2272,1066,2508,2201
"종로구","2015",6,5,11,9,211,161,2184,837,2293,1931
"중구","2010",8,8,26,19,173,112,1859,1212,2725,2473
"중구","2011",3,5,21,28,151,110,2250,918,2665,2264
"중구","2012",5,6,14,12,168,133,2389,774,2696,2345
"중구","2013",1,1,16,14,193,137,2587,915,2443,2148
"중구","2014",6,5,13,13,221,161,2576,887,2415,2122
"중구","2015",3,2,9,6,170,111,2548,859,2224,1964
"중랑구","2010",13,14,33,25,190,164,1745,924,3607,3267
"중랑구","2011",10,10,46,55,204,186,1898,778,3771,3246
"중랑구","2012",9,9,32,29,185,144,2169,705,3483,2936
"중랑구","2013",6,6,18,14,185,139,2052,732,2907,2516
"중랑구","2014",11,10,14,11,163,118,2390,823,2775,2297
"중랑구","2015",13,12,11,9,187,148,2135,829,2847,2407
