"state","county","Obama","Romney","winner","total","margin","turnout"
"MA","Monterey",78.8,18.3,"Obama",514,60.5,2.9
"MA","Montgomery",43.4,54,"Romney",494,10.6,2.6
"MA","Mount Washington",76.9,17.6,"Obama",102,59.3,5.49999999999999
"MA","Nahant",59.7,39.1,"Obama",2268,20.6,1.2
"MA","Nantucket",62.8,35.8,"Obama",6013,27,1.40000000000001
"MA","Natick",62.2,36.2,"Obama",18357,26,1.59999999999999
"MA","Needham",60.4,38.5,"Obama",16720,21.9,1.1
"MA","New Ashford",69.9,26.1,"Obama",147,43.8,3.99999999999999
"MA","New Bedford",75.9,22.7,"Obama",32746,53.2,1.4
"MA","New Braintree",50.6,46,"Obama",540,4.6,3.4
"MA","Newbury",51.3,47.4,"Obama",4372,3.9,1.3
"MA","Newburyport",61.6,36.9,"Obama",10843,24.7,1.5
"MA","New Marlborough",68.4,28.7,"Obama",812,39.7,2.9
"MA","New Salem",62.9,33.8,"Obama",586,29.1,3.3
"MA","Newton",71.4,27,"Obama",44253,44.4,1.59999999999999
"MA","Norfolk",42.5,56.1,"Romney",5623,13.6,1.4
"MA","North Adams",77.5,20,"Obama",5571,57.5,2.5
"MA","Northampton",82.4,13.7,"Obama",15289,68.7,3.9
"MA","North Andover",46.2,52.8,"Romney",14983,6.59999999999999,1
"MA","North Attleborough",46.7,51.8,"Romney",13933,5.09999999999999,1.5
"MA","Northborough",52.3,46.1,"Obama",8259,6.2,1.6
"MA","Northbridge",44.8,53.5,"Romney",7480,8.7,1.7
"MA","North Brookfield",44.4,53.7,"Romney",2321,9.3,1.9
"MA","Northfield",68.5,29.1,"Obama",1588,39.4,2.4
"MA","North Reading",45.6,53.1,"Romney",8627,7.5,1.3
"MA","Norton",49.2,49.1,"Obama",8903,0.100000000000001,1.7
"MA","Norwell",42,57,"Romney",6398,15,1
"MA","Norwood",55.5,43.1,"Obama",14390,12.4,1.4
"MA","Oak Bluffs",70.3,28.6,"Obama",2750,41.7,1.1
"MA","Oakham",44.4,53.1,"Romney",1118,8.7,2.5
"MA","Orange",56.2,41,"Obama",3143,15.2,2.8
"MA","Orleans",55.9,43,"Obama",4418,12.9,1.1
"MA","Otis",59,37.5,"Obama",800,21.5,3.5
"MA","Oxford",48.1,50.2,"Romney",6386,2.1,1.7
"MA","Palmer",53.6,44,"Obama",5502,9.6,2.4
"MA","Paxton",44.7,54.1,"Romney",2473,9.4,1.2
"MA","Peabody",55.8,43.2,"Obama",26626,12.6,1
"MA","Pelham",82.1,14.9,"Obama",860,67.2,3.00000000000001
"MA","Pembroke",46.9,52,"Romney",9647,5.1,1.1
"MA","Pepperell",45.3,52.9,"Romney",6362,7.6,1.8
"MA","Peru",68.4,28.7,"Obama",460,39.7,2.9
"MA","Petersham",55.4,41.5,"Obama",789,13.9,3.1
"MA","Phillipston",48.8,49.3,"Romney",933,0.5,1.90000000000001
"MA","Pittsfield",78,20.2,"Obama",19644,57.8,1.8
"MA","Plainfield",74.3,21.6,"Obama",369,52.7,4.1
"MA","Plainville",47,51.6,"Romney",4337,4.6,1.4
"MA","Plymouth",50.8,47.9,"Obama",29364,2.9,1.3
"MA","Plympton",44.6,53.4,"Romney",1704,8.8,2
"MA","Princeton",48.3,49.9,"Romney",2260,1.6,1.8
"MA","Provincetown",89.1,8.8,"Obama",2331,80.3,2.1
"MA","Quincy",61.5,36.9,"Obama",39530,24.6,1.6
"MA","Randolph",75.6,23.5,"Obama",14980,52.1,0.900000000000006
"MA","Raynham",46.2,52.5,"Romney",6874,6.3,1.3
"MA","Reading",52.2,46.6,"Obama",14087,5.6,1.2
"MA","Rehoboth",46.5,51.9,"Romney",6158,5.4,1.6
"MA","Revere",65.9,32.9,"Obama",16701,33,1.2
"MA","Richmond",74.5,24.5,"Obama",914,50,1
"MA","Rochester",43.6,54.5,"Romney",3066,10.9,1.9
"MA","Rockland",52.4,46.2,"Obama",8515,6.2,1.4
"MA","Rockport",62.9,35.2,"Obama",4652,27.7,1.9
"MA","Rowe",58.1,38.2,"Obama",232,19.9,3.7
"MA","Rowley",44.6,54,"Romney",3531,9.4,1.4
"MA","Royalston",57.8,39.5,"Obama",658,18.3,2.7
"MA","Russell",49.2,49,"Obama",774,0.200000000000003,1.8
"MA","Rutland",46.3,52.1,"Romney",4400,5.8,1.6
"MA","Salem",69.1,29,"Obama",19064,40.1,1.90000000000001
"MA","Salisbury",53.3,45.3,"Obama",4216,8,1.40000000000001
"MA","Sandisfield",64.6,33.8,"Obama",448,30.8,1.60000000000001
"MA","Sandwich",46.7,52.2,"Romney",12294,5.5,1.09999999999999
"MA","Saugus",50.9,48,"Obama",13514,2.9,1.1
"MA","Savoy",67.9,29,"Obama",344,38.9,3.09999999999999
"MA","Scituate",48.8,50,"Romney",11187,1.2,1.2
"MA","Seekonk",51.9,46.5,"Obama",7154,5.4,1.6
"MA","Sharon",63.4,35.4,"Obama",10217,28,1.2
"MA","Sheffield",70.5,27.5,"Obama",1794,43,2
"MA","Shelburne",77,19.9,"Obama",1099,57.1,3.1
"MA","Sherborn",53.9,44.4,"Obama",2609,9.5,1.7
"MA","Shirley",49.6,47.3,"Obama",3035,2.3,3.1
"MA","Shrewsbury",53.6,45.2,"Obama",17828,8.4,1.2
"MA","Shutesbury",82.2,12.5,"Obama",1184,69.7,5.3
"MA","Somerset",61.5,37.1,"Obama",9765,24.4,1.4
"MA","Somerville",82.2,14.1,"Obama",33332,68.1,3.7
"MA","Southampton",53.3,45.3,"Obama",3445,8,1.40000000000001
"MA","Southborough",50.6,47.9,"Obama",5717,2.7,1.5
"MA","Southbridge",64.4,34.7,"Obama",6547,29.7,0.899999999999991
"MA","South Hadley",61.2,37.1,"Obama",8614,24.1,1.7
"MA","Southwick",41.8,56.5,"Romney",4820,14.7,1.7
"MA","Spencer",47.3,50.4,"Romney",5402,3.1,2.3
"MA","Springfield",79.7,19.2,"Obama",53335,60.5,1.1
"MA","Sterling",42.5,55.9,"Romney",4696,13.4,1.6
"MA","Stockbridge",78.1,18.7,"Obama",1170,59.4,3.20000000000001
"MA","Stoneham",53.6,45.1,"Obama",12214,8.5,1.3
"MA","Stoughton",58.5,40.3,"Obama",13710,18.2,1.2
"MA","Stow",55.2,43,"Obama",4179,12.2,1.8
"MA","Sturbridge",47.9,49.9,"Romney",5129,2,2.2
"MA","Sudbury",57.5,41.4,"Obama",10367,16.1,1.1
"MA","Sunderland",73.2,21.7,"Obama",1767,51.5,5.1
"MA","Sutton",40.7,57.6,"Romney",5268,16.9,1.7
"MA","Swampscott",59.7,39,"Obama",8101,20.7,1.3
"MA","Swansea",57.2,41.5,"Obama",7781,15.7,1.3
"MA","Taunton",59.6,38.8,"Obama",22262,20.8,1.6
"MA","Templeton",49.2,49,"Obama",3708,0.200000000000003,1.8
"MA","Tewksbury",46.9,51.8,"Romney",15872,4.9,1.3
"MA","Tisbury",74.2,23.9,"Obama",2440,50.3,1.9
"MA","Tolland",39.6,55.8,"Romney",265,16.2,4.6
"MA","Topsfield",44.9,54,"Romney",3964,9.1,1.1
"MA","Townsend",42.4,55.4,"Romney",4812,13,2.2
"MA","Truro",71,27.2,"Obama",1440,43.8,1.8
"MA","Tyngsborough",45.1,53.4,"Romney",6198,8.3,1.5
"MA","Tyringham",67.1,32.9,"Obama",258,34.2,7.105427357601e-15
"MA","Upton",47.3,50.8,"Romney",4117,3.5,1.90000000000001
"MA","Uxbridge",46.3,51.9,"Romney",7053,5.6,1.8
"MA","Wakefield",51.7,47,"Obama",14292,4.7,1.3
"MA","Wales",51.7,46.8,"Obama",913,4.90000000000001,1.5
"MA","Walpole",45.5,53.3,"Romney",13816,7.8,1.2
"MA","Waltham",62.8,35.2,"Obama",24564,27.6,2
"MA","Ware",56.2,42,"Obama",4173,14.2,1.8
"MA","Wareham",55.9,42.7,"Obama",10701,13.2,1.4
"MA","Warren",52.9,43.5,"Obama",2221,9.4,3.6
"MA","Warwick",73.7,24.1,"Obama",443,49.6,2.2
"MA","Washington",75.9,21.9,"Obama",308,54,2.2
"MA","Watertown",71.1,27,"Obama",16394,44.1,1.90000000000001
"MA","Wayland",62.4,36,"Obama",8128,26.4,1.6
"MA","Webster",51.8,46.4,"Obama",6587,5.4,1.8
"MA","Wellesley",56.7,42.2,"Obama",14387,14.5,1.09999999999999
"MA","Wellfleet",69.9,27.6,"Obama",2187,42.3,2.49999999999999
"MA","Wendell",76.6,12.6,"Obama",495,64,10.8
"MA","Wenham",44.8,53.6,"Romney",2323,8.8,1.6
"MA","Westborough",55.8,42.6,"Obama",8817,13.2,1.6
"MA","West Boylston",48.7,50,"Romney",4112,1.3,1.3
"MA","West Bridgewater",43.8,54.8,"Romney",3903,11,1.40000000000001
"MA","West Brookfield",49.5,48.8,"Obama",1914,0.700000000000003,1.7
"MA","Westfield",52,46.1,"Obama",17406,5.9,1.9
"MA","Westford",49.5,48.8,"Obama",12680,0.700000000000003,1.7
"MA","Westhampton",60.4,36.4,"Obama",1024,24,3.2
"MA","Westminster",45.4,52.5,"Romney",4185,7.1,2.1
"MA","West Newbury",50,48.7,"Obama",2730,1.3,1.3
"MA","Weston",51.2,47.7,"Obama",6549,3.5,1.09999999999999
"MA","Westport",59.1,39.3,"Obama",8446,19.8,1.6
"MA","West Springfield",53.6,44.9,"Obama",11339,8.7,1.5
"MA","West Stockbridge",79.8,18.2,"Obama",868,61.6,2
"MA","West Tisbury",79.5,18.8,"Obama",1942,60.7,1.7
"MA","Westwood",48.2,50.6,"Romney",8886,2.4,1.2
"MA","Weymouth",54.4,44.3,"Obama",27471,10.1,1.3
"MA","Whately",65.2,31.4,"Obama",927,33.8,3.4
"MA","Whitman",49.2,49.2,"Obama",7306,0,1.59999999999999
"MA","Wilbraham",45.6,52.8,"Romney",8077,7.2,1.6
"MA","Williamsburg",76.4,20,"Obama",1563,56.4,3.59999999999999
"MA","Williamstown",80.9,17.2,"Obama",3652,63.7,1.9
"MA","Wilmington",47.2,51.5,"Romney",12327,4.3,1.3
"MA","Winchendon",51.5,46.5,"Obama",4075,5,2
"MA","Winchester",54.8,43.9,"Obama",12602,10.9,1.3
"MA","Windsor",73.8,24.3,"Obama",512,49.5,1.9
"MA","Winthrop",58.6,40.2,"Obama",8786,18.4,1.2
"MA","Woburn",53.5,45.2,"Obama",18998,8.3,1.3
"MA","Worcester",69,29.2,"Obama",57723,39.8,1.8
"MA","Worthington",66.5,28.8,"Obama",689,37.7,4.7
"MA","Wrentham",42.7,55.9,"Romney",6239,13.2,1.4
"MA","Yarmouth",51.8,47,"Obama",13709,4.8,1.2
"MD","Allegany",32.4,65.3,"Romney",27159,32.9,2.3
"MD","Anne Arundel",48.5,49.4,"Romney",234125,0.899999999999999,2.1
"MD","Baltimore",57.2,40.8,"Obama",347419,16.4,2
"MD","Baltimore City",87.4,11.1,"Obama",226543,76.3,1.49999999999999
"MD","Calvert",45,53.2,"Romney",41376,8.2,1.8
"MD","Caroline",36.9,61.3,"Romney",12295,24.4,1.8
"MD","Carroll",31.7,65.7,"Romney",80027,34,2.59999999999999
"MD","Cecil",38.7,59.1,"Romney",39149,20.4,2.2
"MD","Charles",65,33.7,"Obama",69258,31.3,1.3
"MD","Dorchester",46.1,52.7,"Romney",14084,6.6,1.2
"MD","Frederick",46.9,50.9,"Romney",106682,4,2.2
"MD","Garrett",23,75.1,"Romney",11894,52.1,1.90000000000001
"MD","Harford",39.2,58.7,"Romney",115886,19.5,2.09999999999999
"MD","Howard",59.5,38.3,"Obama",138111,21.2,2.2
"MD","Kent",48.7,49.6,"Romney",8986,0.899999999999999,1.7
"MD","Montgomery",70.9,27.4,"Obama",397433,43.5,1.7
"MD","Prince George's",90.1,9.2,"Obama",349578,80.9,0.700000000000006
"MD","Queen Anne's",34.1,64.3,"Romney",22777,30.2,1.60000000000001
"MD","St. Mary's",40.8,56.9,"Romney",43078,16.1,2.3
"MD","Somerset",48.3,50.8,"Romney",9184,2.5,0.900000000000006
"MD","Talbot",42.8,55.9,"Romney",18425,13.1,1.3
"MD","Washington",39.7,58.2,"Romney",57395,18.5,2.09999999999999
"MD","Wicomico",45.7,52.6,"Romney",37617,6.9,1.7
"MD","Worcester",40.1,58.4,"Romney",24175,18.3,1.5
"ME","Abbot",40.4,57,"Romney",369,16.6,2.6
"ME","Acton",51.3,46.6,"Obama",1313,4.7,2.1
"ME","Addison",46.7,51.1,"Romney",572,4.4,2.2
"ME","Albion",42,54.9,"Romney",990,12.9,3.1
"ME","Alexander",45.5,53.1,"Romney",284,7.6,1.4
"ME","Alfred",55.4,42.5,"Obama",1703,12.9,2.1
"ME","Allagash",56.4,42.1,"Obama",138,14.3,1.5
"ME","Alna",58,39,"Obama",453,19,3
"ME","Alton",50.2,47.1,"Obama",436,3.1,2.7
"ME","Amherst",47.9,48.6,"Romney",139,0.700000000000003,3.5
"ME","Amity",37.2,59.6,"Romney",91,22.4,3.2
"ME","Andover",50.5,43,"Obama",472,7.5,6.5
"ME","Anson",50,47.1,"Obama",1055,2.9,2.9
"ME","Appleton",54.8,41.4,"Obama",764,13.4,3.8
"ME","Aroostook Cty Townships",47.2,47.9,"Romney",367,0.699999999999996,4.9
"ME","Arrowsic",68.5,28.7,"Obama",312,39.8,2.8
"ME","Arundel",54.7,42.7,"Obama",2189,12,2.59999999999999
"ME","Ashland",58,41.1,"Obama",559,16.9,0.899999999999999
"ME","Athens",49.1,47.4,"Obama",415,1.7,3.5
"ME","Atkinson",40.8,57.5,"Romney",176,16.7,1.7
"ME","Auburn",57.6,39.5,"Obama",10965,18.1,2.9
"ME","Augusta",59.1,38,"Obama",8531,21.1,2.9
"ME","Aurora",28.1,65.6,"Romney",60,37.5,6.30000000000001
"ME","Avon",53.8,44.5,"Obama",232,9.3,1.7
"ME","Baileyville",56.8,36.9,"Obama",584,19.9,6.3
"ME","Baldwin",44.3,51.7,"Romney",767,7.40000000000001,4
"ME","Bancroft",35.5,64.5,"Romney",31,29,0
"ME","Bangor",58.4,39.2,"Obama",14714,19.2,2.4
"ME","Bar Harbor",71.2,25.9,"Obama",2921,45.3,2.9
"ME","Baring Plt.",52.8,46.2,"Obama",105,6.59999999999999,1
"ME","Bath",63.9,33.4,"Obama",4407,30.5,2.7
"ME","Beals",48.4,49.5,"Romney",271,1.1,2.1
"ME","Beaver Cove",43.6,55.3,"Romney",93,11.7,1.1
"ME","Beddington",37.1,60,"Romney",34,22.9,2.9
"ME","Belfast",63,34.4,"Obama",3510,28.6,2.6
"ME","Belgrade",50.6,47.3,"Obama",1842,3.3,2.1
"ME","Belmont",53.4,43.8,"Obama",475,9.6,2.8
"ME","Benton",51.4,47.4,"Obama",1404,4,1.2
"ME","Berwick",47.8,49.9,"Romney",3545,2.1,2.3
"ME","Bethel",60.4,36.6,"Obama",1463,23.8,3
"ME","Biddeford",67,30.8,"Obama",9665,36.2,2.2
"ME","Bingham",53.8,44,"Obama",451,9.8,2.2
"ME","Blaine",27.1,70.7,"Romney",357,43.6,2.2
"ME","Blue Hill",63.9,33.4,"Obama",1713,30.5,2.7
"ME","Boothbay",53.5,44.8,"Obama",1989,8.7,1.7
"ME","Boothbay Harbor",55.8,42.3,"Obama",1326,13.5,1.90000000000001
"ME","Bowdoin",44.7,52.6,"Romney",1548,7.9,2.7
"ME","Bowdoinham",58.2,39.4,"Obama",1711,18.8,2.4
"ME","Bowerbank",42.9,57.1,"Romney",84,14.2,0
"ME","Bradford",41.1,57.1,"Romney",600,16,1.8
"ME","Bradley",55.1,43.3,"Obama",784,11.8,1.6
"ME","Bremen",59.8,38.2,"Obama",480,21.6,2
"ME","Brewer",48.2,50,"Romney",4992,1.8,1.8
"ME","Bridgewater",38.3,60.3,"Romney",286,22,1.40000000000001
"ME","Bridgton",54.2,43.3,"Obama",2700,10.9,2.5
"ME","Brighton Plt.",44.2,53.5,"Romney",42,9.3,2.3
"ME","Bristol",58.2,39.8,"Obama",1767,18.4,2
"ME","Brooklin",64.2,33.9,"Obama",562,30.3,1.9
"ME","Brooks",47.4,50.7,"Romney",503,3.3,1.9
"ME","Brooksville",64.3,32.3,"Obama",628,32,3.40000000000001
"ME","Brownfield",54.4,43.5,"Obama",459,10.9,2.1
"ME","Brownville",48.7,48.5,"Obama",691,0.200000000000003,2.8
"ME","Brunswick",49,22.8,"Obama",11507,26.2,28.2
"ME","Buckfield",50.7,45.5,"Obama",983,5.2,3.8
"ME","Bucksport",55.8,42.1,"Obama",2382,13.7,2.1
"ME","Burlington",36.5,60.8,"Romney",184,24.3,2.7
"ME","Burnham",48.7,49.1,"Romney",582,0.399999999999999,2.2
"ME","Buxton",52.4,45.3,"Obama",4121,7.1,2.3
"ME","Byron",49.4,46.8,"Obama",76,2.6,3.8
"ME","Calais",49.1,48.8,"Obama",1455,0.300000000000004,2.1
"ME","Cambridge",36,61.8,"Romney",261,25.8,2.2
"ME","Camden",69.5,28.8,"Obama",3115,40.7,1.7
"ME","Canaan",51.2,46.2,"Obama",979,5,2.59999999999999
"ME","Canton",55,41.6,"Obama",457,13.4,3.4
"ME","Cape Elizabeth",62.2,33.5,"Obama",6179,28.7,4.3
"ME","Caratunk",45.1,54.9,"Romney",51,9.8,0
"ME","Caribou",52.3,45.6,"Obama",3575,6.7,2.1
"ME","Carmel",39.8,58.4,"Romney",1427,18.6,1.8
"ME","Carrabassett Valley",63.7,33,"Obama",448,30.7,3.3
"ME","Carroll Plt.",34.9,62.7,"Romney",81,27.8,2.39999999999999
"ME","Carthage",56.7,39.2,"Obama",235,17.5,4.09999999999999
"ME","Cary Plt.",35.8,62.4,"Romney",107,26.6,1.8
"ME","Casco",51.2,46.3,"Obama",1892,4.90000000000001,2.5
"ME","Castine",57.2,40.8,"Obama",579,16.4,2
"ME","Castle Hill",38.8,60.2,"Romney",194,21.4,1
"ME","Caswell",65.2,32.6,"Obama",135,32.6,2.2
"ME","Chapman",48.4,39,"Obama",215,9.4,12.6
"ME","Charleston",28.4,69.3,"Romney",640,40.9,2.3
"ME","Charlotte",37.9,57.4,"Romney",161,19.5,4.7
"ME","Chebeague Island",73,24,"Obama",287,49,3
"ME","Chelsea",51.6,45,"Obama",1297,6.6,3.4
"ME","Cherryfield",47,51.2,"Romney",581,4.2,1.8
"ME","Chester",35.3,62.5,"Romney",316,27.2,2.2
"ME","Chesterville",60.3,37.2,"Obama",645,23.1,2.5
"ME","China",48.9,48.6,"Obama",2234,0.299999999999997,2.5
"ME","Clifton",47.8,50,"Romney",452,2.2,2.2
"ME","Clinton",51.6,46.1,"Obama",1547,5.5,2.3
"ME","Columbia",33.3,62.7,"Romney",193,29.4,4
"ME","Columbia Falls",43.1,52.3,"Romney",270,9.2,4.6
"ME","Cooper",44.2,51.9,"Romney",124,7.7,3.9
"ME","Coplin Plt.",50.6,48.2,"Obama",82,2.4,1.2
"ME","Corinna",38,59.5,"Romney",1062,21.5,2.5
"ME","Corinth",34.6,63.3,"Romney",1351,28.7,2.10000000000001
"ME","Cornish",54.9,42.9,"Obama",739,12,2.2
"ME","Cornville",45.2,53.3,"Romney",662,8.09999999999999,1.5
"ME","Cranberry Isles",68.5,27.5,"Obama",143,41,4
"ME","Crawford",36.5,63.5,"Romney",63,27,0
"ME","Crystal",35.9,60.6,"Romney",137,24.7,3.49999999999999
"ME","Cumberland",53.3,45.2,"Obama",4840,8.09999999999999,1.5
"ME","Cushing",51.3,47,"Obama",809,4.3,1.7
"ME","Cutler",40.8,57.4,"Romney",279,16.6,1.8
"ME","Cyr Plt.",53.5,46.5,"Obama",43,7,0
"ME","Dallas Plt.",55.9,42.7,"Obama",224,13.2,1.4
"ME","Damariscotta",59,38.5,"Obama",1274,20.5,2.5
"ME","Danforth",41.5,56.6,"Romney",260,15.1,1.9
"ME","Dayton",52.4,44.6,"Obama",1093,7.8,3
"ME","Deblois",25.9,74.1,"Romney",27,48.2,0
"ME","Dedham",51.2,46.7,"Obama",1021,4.5,2.09999999999999
"ME","Deer Isle",68.6,30,"Obama",1187,38.6,1.40000000000001
"ME","Denmark",48.3,48.2,"Obama",635,0.0999999999999943,3.5
"ME","Dennistown Plt.",33.3,60,"Romney",14,26.7,6.7
"ME","Dennysville",49,49,"Obama",154,0,2
"ME","Detroit",51,47,"Obama",386,4,2
"ME","Dexter",45.3,52.3,"Romney",1605,7,2.40000000000001
"ME","Dixfield",60.8,38.1,"Obama",1220,22.7,1.1
"ME","Dixmont",46.6,51.5,"Romney",680,4.9,1.9
"ME","Dover-Foxcroft",47.1,50.2,"Romney",2049,3.1,2.7
"ME","Dresden",55,41.7,"Obama",956,13.3,3.3
"ME","Drew Plt.",35,65,"Romney",20,30,0
"ME","Durham",49.5,47.1,"Obama",2217,2.4,3.4
"ME","Dyer Brook",33.3,60.5,"Romney",121,27.2,6.2
"ME","Eagle Lake",62.9,34.6,"Obama",428,28.3,2.5
"ME","Eastbrook",42.1,54.2,"Romney",206,12.1,3.7
"ME","East Machias",43.8,53.9,"Romney",691,10.1,2.3
"ME","East Millinocket",52.5,45.2,"Obama",899,7.3,2.3
"ME","Easton",47.9,49.5,"Romney",634,1.6,2.6
"ME","Eastport",58.2,35.3,"Obama",784,22.9,6.5
"ME","Eddington",44.1,54,"Romney",1239,9.9,1.9
"ME","Edgecomb",55.2,41.9,"Obama",735,13.3,2.9
"ME","Edinburg",55.3,44.7,"Obama",94,10.6,0
"ME","Eliot",56.3,41.9,"Obama",3854,14.4,1.8
"ME","Ellsworth",49.7,46.9,"Obama",3793,2.8,3.4
"ME","Embden",45.1,51.3,"Romney",466,6.2,3.6
"ME","Enfield",46.3,50.6,"Romney",745,4.3,3.1
"ME","Etna",41.6,55.9,"Romney",600,14.3,2.5
"ME","Eustis",51.2,44.5,"Obama",357,6.7,4.3
"ME","Exeter",40.6,57.6,"Romney",532,17,1.8
"ME","Fairfield",53.8,42.7,"Obama",3073,11.1,3.5
"ME","Falmouth",54.8,43.8,"Obama",7468,11,1.40000000000001
"ME","Farmingdale",55.6,42.5,"Obama",1565,13.1,1.9
"ME","Farmington",62.8,33.1,"Obama",3729,29.7,4.1
"ME","Fayette",58.3,39.7,"Obama",726,18.6,2
"ME","Fort Fairfield",52.2,44.4,"Obama",1519,7.8,3.4
"ME","Fort Kent",67.4,30.6,"Obama",2001,36.8,1.99999999999999
"ME","Frankfort",45.7,51,"Romney",512,5.3,3.3
"ME","Franklin",48.5,49.3,"Romney",714,0.799999999999997,2.2
"ME","Franklin Cty Townships",58.3,33.3,"Obama",22,25,8.40000000000001
"ME","Freedom",54.8,41.6,"Obama",378,13.2,3.6
"ME","Freeport",64.2,33.9,"Obama",4992,30.3,1.9
"ME","Frenchboro",52.5,37.5,"Obama",36,15,10
"ME","Frenchville",69.6,28.1,"Obama",570,41.5,2.3
"ME","Friendship",45.8,51.4,"Romney",681,5.6,2.8
"ME","Fryeburg",57,40.2,"Obama",1569,16.8,2.8
"ME","Frye Island",30.4,67.9,"Romney",55,37.5,1.69999999999999
"ME","Gardiner",57,38.8,"Obama",2857,18.2,4.2
"ME","Garfield Plt.",47.1,52.9,"Romney",51,5.8,0
"ME","Garland",45,52.5,"Romney",533,7.5,2.5
"ME","Georgetown",61,37.2,"Obama",720,23.8,1.8
"ME","Gilead",59.1,35.7,"Obama",109,23.4,5.2
"ME","Glenburn",46.3,52.2,"Romney",2417,5.90000000000001,1.5
"ME","Glenwood Plt.",33.3,66.7,"Romney",6,33.4,0
"ME","Gorham",56.7,41.4,"Obama",8865,15.3,1.9
"ME","Gouldsboro",50.4,46.9,"Obama",954,3.5,2.7
"ME","Grand Isle",75.3,22.5,"Obama",226,52.8,2.2
"ME","Grand Lake Stream Plt",42,58,"Romney",100,16,0
"ME","Gray",50,47.4,"Obama",4404,2.6,2.6
"ME","Great Pond",42.9,54.3,"Romney",34,11.4,2.8
"ME","Greenbush",41.5,56.1,"Romney",595,14.6,2.4
"ME","Greene",47.9,49.1,"Romney",2250,1.2,3
"ME","Greenville",53.5,45.1,"Obama",1104,8.4,1.4
"ME","Greenwood",56.5,39.8,"Obama",416,16.7,3.7
"ME","Guilford",43.5,52,"Romney",656,8.5,4.5
"ME","Hallowell",70.1,27.4,"Obama",1516,42.7,2.50000000000001
"ME","Hamlin",63.9,34,"Obama",95,29.9,2.1
"ME","Hammond",49,51,"Romney",49,2,0
"ME","Hampden",48.2,50.2,"Romney",4112,2,1.59999999999999
"ME","Hancock",48.9,48.8,"Obama",1191,0.100000000000001,2.3
"ME","Hancock Cty Townships",NA,NA,NA,0,NA,NA
"ME","Hanover",54.3,43.8,"Obama",159,10.5,1.90000000000001
"ME","Harmony",43.6,54.4,"Romney",441,10.8,2
"ME","Harpswell",57.6,40.7,"Obama",3311,16.9,1.7
"ME","Harrington",39.9,58.1,"Romney",445,18.2,2
"ME","Harrison",51.9,44.2,"Obama",1364,7.7,3.9
"ME","Hartford",52.5,43.8,"Obama",563,8.7,3.7
"ME","Hartland",38.6,58,"Romney",811,19.4,3.4
"ME","Haynesville",38.6,61.4,"Romney",57,22.8,0
"ME","Hebron",52.6,43.1,"Obama",673,9.5,4.3
"ME","Hermon",41.3,57.2,"Romney",2981,15.9,1.5
"ME","Hersey",28.1,71.9,"Romney",32,43.8,0
"ME","Highland Plt.",36.8,58.5,"Romney",101,21.7,4.7
"ME","Hiram",52.3,44.6,"Obama",702,7.7,3.1
"ME","Hodgdon",31.9,66.5,"Romney",558,34.6,1.59999999999999
"ME","Holden",42.9,55,"Romney",1886,12.1,2.1
"ME","Hollis",52.5,44.3,"Obama",2303,8.2,3.2
"ME","Hope",57.1,39.9,"Obama",926,17.2,3
"ME","Houlton",45.3,52.3,"Romney",2440,7,2.40000000000001
"ME","Howland",52.9,44.7,"Obama",631,8.2,2.4
"ME","Hudson",38,60.7,"Romney",722,22.7,1.3
"ME","Indian Township Vtng Dst",88.1,10.6,"Obama",233,77.5,1.30000000000001
"ME","Industry",52.9,43.6,"Obama",434,9.3,3.5
"ME","Island Falls",44.9,52.5,"Romney",410,7.6,2.6
"ME","Isle Au Haut",84.2,8.8,"Obama",53,75.4,7
"ME","Islesboro",67.5,32.1,"Obama",416,35.4,0.399999999999999
"ME","Jackman",37.7,57.7,"Romney",481,20,4.59999999999999
"ME","Jackson",45.5,49.1,"Romney",264,3.6,5.4
"ME","Jay",63.5,34.1,"Obama",2483,29.4,2.4
"ME","Jefferson",46.8,51.3,"Romney",1418,4.5,1.90000000000001
"ME","Jonesboro",47.9,50,"Romney",286,2.1,2.1
"ME","Jonesport",50.5,48.1,"Obama",607,2.4,1.4
"ME","Kenduskeag",48,50.2,"Romney",618,2.2,1.8
"ME","Kennebunk",57.4,40.8,"Obama",6733,16.6,1.8
"ME","Kennebunkport",54.6,44.2,"Obama",2396,10.4,1.2
"ME","Kingfield",53.3,42.7,"Obama",596,10.6,4
"ME","Kingsbury Plt.",57.9,42.1,"Obama",19,15.8,0
"ME","Kittery",64.2,33.8,"Obama",5257,30.4,2
"ME","Knox",40,57.2,"Romney",384,17.2,2.8
"ME","LaGrange",43.2,55.3,"Romney",317,12.1,1.5
"ME","Lake View Plt.",61.9,38.1,"Obama",63,23.8,0
"ME","Lakeville",46.3,51.3,"Romney",78,5,2.40000000000001
"ME","Lamoine",49.9,47.9,"Obama",1033,2,2.2
"ME","Lebanon",44.2,52.3,"Romney",2808,8.09999999999999,3.5
"ME","Lee",35.3,64.2,"Romney",451,28.9,0.5
"ME","Leeds",52.2,44.7,"Obama",1131,7.5,3.09999999999999
"ME","Levant",36.9,60,"Romney",1413,23.1,3.1
"ME","Lewiston",60.8,36.8,"Obama",15328,24,2.40000000000001
"ME","Liberty",52.6,44.5,"Obama",478,8.1,2.9
"ME","Limerick",51.5,45.1,"Obama",1383,6.4,3.4
"ME","Limestone",59.5,37.7,"Obama",835,21.8,2.8
