"지수종류","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981"
"총지수","1.3","2.2","4.0","3.0","2.8","4.7","2.5","2.2","2.8","3.6","3.5","2.8","4.1","2.3","0.8","7.5","4.4","4.9","4.5","6.3","4.8","6.2","9.3","8.6","5.7","7.1","3.0","2.8","2.5","2.3","3.4","7.2","21.4"
"생활물가지수","0.7","1.7","4.4","3.4","2.1","5.3","3.2","3.1","4.0","4.9","4.0","2.5","5.1","3.7","2.4","11.1","6.1","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"신선식품지수","-1.3","5.8","6.3","21.3","7.6","-5.8","4.5","1.0","1.8","8.0","7.0","9.3","7.1","-2.0","8.7","8.2","8.3","-3.2","0.3","23.8","0.5","6.1","19.1","-","-","-","-","-","-","-","-","-","-"
"농산물및석유류제외지수","1.6","1.6","3.2","1.8","3.6","4.3","2.3","1.8","2.3","2.9","3.1","3.0","3.6","1.9","0.3","5.9","3.4","5.1","4.6","5.1","5.2","6.2","8.3","8.4","6.0","6.1","3.0","3.7","2.2","2.1","4.1","8.7","20.6"
"식료품및에너지제외지수","1.5","1.5","2.6","1.9","3.0","3.6","2.5","2.0","2.3","2.4","3.2","3.1","3.5","1.8","-0.2","4.8","3.5","5.0","5.3","5.6","5.3","6.4","8.9","-","-","-","-","-","-","-","-","-","-"
